mod_text,spam,category
This is Inspector Kavita Joshi from SEBI Fraud Division. Your mobile number was used to open a fraudulent account used in tax evasion. Report to our online portal within 30 minutes or a search warrant will be executed.,1,financial_fraud
"India Post Customs Notice: A package addressed to you from London has been seized. It contains items exceeding the duty-free limit. Pay Rs 10,000 or it will be destroyed in 48 hours.",1,financial_fraud
Reminder: Your SIP of Rs 999 in Mirae Asset Emerging Bluechip will be debited from your bank account on the 5th of this month. Ensure adequate balance. Happy investing!,0,legit
"ALERT: Rs 999 debited from Bank of India a/c **6789 on 12-May-2026 at Flipkart. Avl Bal: Rs 2,34,560. Not you? Call Bank of India helpline. SMS BLOCK to 567676 to block your card.",0,legit
"Dear customer, your Bank of India UPI ID has been flagged for suspicious activity. Reverify your UPI PIN at boi-upi.net to restore sending limits.",1,bank_phishing
"My dear, I am in hospital in Dubai after an accident. I have no family here. Please send Rs 1.5 lakh for my treatment and I promise to repay you as soon as I recover and return.",1,romance_parcel_sextortion
"SBI Fraud Alert: A Rs 40,000 transaction on your account ending 3421 is pending verification. Approve or deny at sbi-transaction.in before it is processed.",1,bank_phishing
IndusInd Bank Fraud Alert: A Rs 1.5 lakh transaction on account ending 3333 is pending verification. Approve or deny at indusind-transaction.in before processing.,1,bank_phishing
"Kotak Bank: INR 199 credited to your a/c **7832 on 10-May-2026 by NEFT from AJIO. Updated bal: Rs 12,450. Ref: TXN3517866687. For details visit Kotak Bank mobile app.",0,legit
Your Flipkart order #367029758 is confirmed. Payment of Rs 850 received via UPI. Expected delivery: today. You can track your order anytime in the Flipkart app.,0,legit
LinkedIn: Neha Gupta from Wipro has sent you a connection request along with a message about a Data Analyst opportunity. View the request in your LinkedIn app.,0,legit
Your mobile number was found in the contacts of a known cybercrime syndicate. SI Ajay Kumar from Interpol is reaching out before escalating your case to the public prosecutor.,1,government_impersonation
"This is your Canara Bank security officer. To freeze an unauthorized transaction of Rs 1.5 lakh on your account, please share the 6-digit OTP just sent to your mobile number.",1,bank_phishing
"To protect your savings in this investigation, our officer needs to access your net banking. Share your Canara Bank login ID and current password on this secure line.",1,bank_phishing
314916 is your Union Bank of India MPIN reset OTP. Valid for 10 minutes. Never share your OTP or PIN with anyone — even Union Bank of India staff will never ask.,0,legit
"Your ex-partner has shared your private videos with us. We are distributing them online unless you pay Rs 40,000 within 90 minutes. Send to the UPI ID provided in this message immediately.",1,financial_fraud
Your Bank of India credit card limit has been reduced to zero pending KYC verification. Complete verification in 12 hours to restore your full limit at boi-limit.in.,1,bank_phishing
"Federal Bank: A transaction of Rs 1.5 lakh was attempted from your account. If not done by you, reverse it here: federal-fraud.in/report",1,bank_phishing
Croma Update: Your order #110805781 is delayed by 1 day due to high demand. New expected delivery: within 24 hours. We apologize for the inconvenience caused.,0,legit
This is a notice from the NCB cybercrime division. Your IP address was used to conduct narcotics trafficking. You have 1 hour to submit a compliance report or face immediate arrest.,1,government_impersonation
You are being investigated for cybercrime by the Interpol. This is your final opportunity to cooperate before a non-bailable warrant is served at your registered address.,1,government_impersonation
"Final warning from the Anti-Corruption Bureau: your Passport is linked to active PMLA violation proceedings. Transfer Rs 30,000 to the government escrow account within 15 minutes to avoid arrest.",1,government_impersonation
Action required: Kotak Bank detected that your registered mobile number does not match records. Update KYC within 4 hours to avoid suspension.,1,bank_phishing
"I found your profile and felt an instant connection. I am Meera living in Dubai. I want to visit India to meet you but I need Rs 10,000 for my flight ticket and visa fees urgently.",1,romance_parcel_sextortion
Your phone number has been traced to illegal PMLA violation operations. SI Rajat Singh from Cyber Crime Cell is conducting this investigation. This call is being recorded as evidence.,1,government_impersonation
Your HDFC Bank OTP is 816593. Valid for 10 minutes. Do not share this OTP with anyone. HDFC Bank will never call to ask for your OTP.,0,legit
"My love, I am a widow living in USA with assets worth crores. I want to relocate to India and be with you. I just need Rs 75,000 to complete legal formalities. Please trust me.",1,romance_parcel_sextortion
"Canara Bank credit card: Rs 850 billed at Nykaa on 07-May-2026. Total outstanding: Rs 4,320. Min due: Rs 500. Due date: 5th of next month. Pay via Canara Bank app or website.",0,legit
"BSNL Bill Reminder: Your bill of Rs 1,350 for the month of April is due on 20-May. Pay now via the BSNL app to earn 100 reward points. Thank you.",0,legit
Your Blinkit order #179929208 has been cancelled as requested. A refund of Rs 250 will be credited to your original payment method within 5–7 business days.,0,legit
"Breaking: Insider tip — Dogecoin will surge 500% this week due to a secret partnership announcement. Buy now through our group link before the news goes public. Entry: Rs 10,000.",1,financial_fraud
"Amazon reseller program: earn Rs 50,000 per month by listing products on our portal. Registration fee: Rs 800. Training and product catalog provided on day 1. Apply now.",1,government_impersonation
"You have received a payment request of Rs 15,000 on Amazon Pay. Approve it to receive a cashback reward credited directly to your wallet. Tap Approve within 30 minutes to claim.",1,financial_fraud
"This is a message from the Prime Minister's Office. You have been selected for the PM relief fund of Rs 25,000. Pay Rs 5,000 in processing charges to receive the funds in your account.",1,financial_fraud
This is Enforcement Directorate. We have monitored illegal tax evasion activity linked to your Driving License. You are under digital arrest. Do not leave your home or contact anyone until our verification is complete.,1,government_impersonation
"Hi, this is Simran from Infosys HR. You have been selected for a remote work position with a salary of Rs 80,000 per month. Pay Rs 2,500 for document verification to proceed.",1,financial_fraud
Your HDFC Bank OTP is 838565. This is valid for 10 minutes. Do not share this OTP with anyone. HDFC Bank will never ask for your OTP over phone or SMS.,0,legit
"Dear recipient, your international parcel containing gifts and electronics from Saudi Arabia is held at Delhi Customs. Pay Rs 499 customs tax at the link to release and deliver it.",1,financial_fraud
ICICI Bank Alert: Your account ending 1234 has been temporarily suspended due to multiple failed login attempts. Restore access immediately: icici-secure.in/verify,1,bank_phishing
We have recorded your screen while you visited an adult website. Pay Rs 2 lakh in Bitcoin within 15 minutes or the video will be sent to all your contacts and your employer immediately.,1,romance_parcel_sextortion
"Reminder: EMI of Rs 1,200 for your Canara Bank home loan is due in 3 days. Ensure sufficient balance in your account. For assistance, call Canara Bank official helpline.",0,legit
This is NCB. We have monitored illegal money laundering activity linked to your mobile number. You are under digital arrest. Do not leave your home or contact anyone until our verification is complete.,1,government_impersonation
"Congratulations! Your mobile number was selected in the KBC Season 15 Mega Lucky Draw. You have won Rs 50 lakh. Pay a processing fee of Rs 1,500 to claim your prize.",1,financial_fraud
"Your parcel from Saudi Arabia has been flagged at Mumbai International Airport Customs. It contains undeclared items. Pay Rs 15,000 as a penalty within 30 minutes to release the package.",1,financial_fraud
"My dear, I am in hospital in Canada after an accident. I have no family here. Please send Rs 25,000 for my treatment and I promise to repay you as soon as I recover and return.",1,romance_parcel_sextortion
"ALERT: Your Blue Dart shipment tracking number shows a customs hold. The declared value exceeds the limit. Pay Rs 75,000 duty immediately at our secure portal to avoid confiscation.",1,financial_fraud
You are under digital custody as ordered by the Supreme Court cybercrime bench. This is Cyber Crime Cell. Your Passport number appears in a drug trafficking investigation. Cooperate immediately or face arrest.,1,government_impersonation
This is a notice from the Income Tax Department cybercrime division. Your IP address was used to conduct online fraud. You have 30 minutes to submit a compliance report or face immediate arrest.,1,government_impersonation
"ICICI Bank Fixed Deposit matured: Principal Rs Rs 50,000 + Interest Rs Rs 1,200 = Total Rs Rs 22,000 credited to your savings account ending 4444. Thank you for choosing ICICI Bank.",0,legit
"Breaking: Insider tip — Ethereum will surge 500% this week due to a secret partnership announcement. Buy now through our group link before the news goes public. Entry: Rs 5,000.",1,financial_fraud
"Rs 2,000 received in your Paytm wallet from Zepto. Current balance: Rs Rs 45,670. For help, visit Paytm Help Center within the official app.",0,legit
BSNL: Your data balance is running low. You have used 90% of your monthly data. Recharge now with a plan starting from Rs 299 to avoid speed throttling.,0,legit
Congratulations! You have been shortlisted for the HR Manager interview at Swiggy. Your interview is scheduled for 02-May at 11 AM–1 PM. Please carry your resume and documents.,0,legit
"You have a pending UPI refund of Rs 25,000 from your last failed transaction. To receive it, enter your PIN at the link: paytm-refund-portal.net. Valid for 20 minutes only.",1,financial_fraud
This is ACP Suresh Kumar from RBI Cybercrime Division. Your mobile number was used to open a fraudulent account used in money laundering. Report to our online portal within 20 minutes or a search warrant will be executed.,1,government_impersonation
Your Flipkart order #796465250 has been cancelled as requested. A refund of Rs 120 will be credited to your original payment method within 5–7 business days.,0,legit
This is DCP Harish Singh from the TRAI. Your PAN card has been linked to a foreign exchange violation case. A non-bailable warrant is being processed. Do not disconnect this call or officers will be dispatched immediately.,1,government_impersonation
"Dear Jio customer, your recharge of Rs 479 is successful. Validity: 30 days. Talk time, SMS and data benefits activated. Thank you for choosing Jio.",0,legit
Union Bank of India Fraud Alert: A Rs 1.5 lakh transaction on your account ending 4821 is pending verification. Approve or deny at unionbank-transaction.in before it is processed.,1,bank_phishing
"One-Time Password (OTP) for your HDFC Bank transaction is 508058. Valid for 3 minutes. If not requested by you, ignore this message.",0,legit
"Dear customer, your PNB a/c **3421 has been debited Rs 850 via UPI to DMart on 01-Jun-2026. If unrecognized, report in the PNB app within 24 hours.",0,legit
Congratulations! You have been shortlisted for the Content Writer interview at Amazon India. Your interview is scheduled for 03-May at 9–11 AM. Please carry your resume and documents.,0,legit
This is SI Dinesh Mehta from Narcotics Control Bureau. Your Voter ID was used to open a fraudulent account used in PMLA violation. Report to our online portal within 90 minutes or a search warrant will be executed.,1,government_impersonation
A case under Section 420 IPC and the PMLA Act has been registered against you. Enforcement Directorate has issued a warrant. Call back immediately at the number displayed or face arrest within 90 minutes.,1,government_impersonation
Your Federal Bank EMI of Rs 650 for account ending 5555 has been successfully debited. Thank you for your timely payment. Remaining tenure: 6 months.,0,legit
Urgent notice: Enforcement Directorate has registered a First Information Report against you for online fraud. DCP Pradeep Sharma is handling your case. Do not inform family or it will be treated as obstruction.,1,government_impersonation
"Invest Rs 25,000 in XRP today and our AI trading bot will generate 20% returns in 30 days. Withdraw profits at any time to your bank. Over 50,000 happy investors on OKX.",1,financial_fraud
"Hello. I know your password is [raj12345]. I have been monitoring your device for months. Pay Rs 50,000 in crypto or I will share your browsing history and private images with everyone you know.",1,financial_fraud
Your electricity bill of Rs 250 for consumer number 812739 is due on 15-May. Pay online at your state electricity board portal or at the nearest authorized center.,0,legit
"DTDC Delivery Alert: Your package from Germany could not be delivered due to an address issue. Update your address and pay Rs 5,000 re-delivery fee at DTDC-redeliver.in.",1,bank_phishing
Your Google Pay account shows a refund of Rs 1.5 lakh from a merchant dispute resolution. Claim it by entering your UPI PIN at the secured refund portal link we sent you.,1,financial_fraud
Bank of Baroda confirms: Rs 650 debited toward your credit card payment ending 6789. Payment received successfully. Your outstanding balance has been updated. Thank you.,0,legit
PNB Alert: Your account ending 9999 has been temporarily suspended due to multiple failed login attempts. Click here to restore access immediately: pnb-secure.in/verify,1,bank_phishing
"Exclusive XRP mining pool: contribute Rs 5,000 worth of hash power and earn 200% monthly returns. Payouts daily. Register at CoinDCX-mining.com today.",1,financial_fraud
This is Officer Rakesh Tiwari from the Delhi Police Cyber Cell. Your Aadhaar has been linked to a tax evasion case. A non-bailable warrant is being processed. Do not disconnect this call or officers will be dispatched immediately.,1,government_impersonation
Groww: Your SBI Bluechip Fund SIP installment of Rs 250 is due on the 5th. Ensure sufficient balance in your linked bank account. Auto-debit will be attempted at 9 AM.,0,legit
"Dear Vi customer, your recharge of Rs 479 is successful. Validity: 84 days. Talk time, SMS and data benefits activated. Thank you for choosing Vi.",0,legit
Your mutual fund SIP of Rs 380 has been successfully executed. Units purchased at NAV of Rs 45.67. Portfolio value updated in your Zerodha/Groww app. Keep investing!,0,legit
Indian Overseas Bank Security: Your account ending 0001 shows a suspicious login from an unrecognized device. Confirm it was you or click to secure your account immediately.,1,government_impersonation
"Cheque no. 123456 of Rs 450 presented against your SBI a/c **7832 has been cleared on 07-May-2026. Updated balance: Rs 56,200. For queries use SBI net banking.",0,legit
"Reminder: EMI of Rs 650 for your HDFC Bank home loan is due in 3 days. Ensure sufficient balance in your account. For assistance, call HDFC Bank official helpline.",0,legit
URGENT SBI Notice: Your credit card ending 4444 will be permanently deactivated in 3 hours if KYC is not completed. Update now: sbi-kyc.net,1,bank_phishing
OTP 770286 is required to complete your PNB UPI transaction. This OTP will expire in 5 minutes. Do not share it with anyone.,0,legit
"You have a pending UPI refund of Rs 1 lakh from your last failed transaction. To receive it, enter your PIN at the link: phonepe-refund-portal.net. Valid for 45 minutes only.",1,financial_fraud
"Exciting part-time opportunity: earn Rs 5,000 per hour completing micro-tasks — liking posts, rating apps, watching videos. No experience required. Withdraw earnings daily.",1,financial_fraud
Use OTP 909490 to complete your HDFC Bank account KYC update. This OTP is valid for 5 minutes and is strictly confidential. Never share it with anyone.,0,legit
Final warning from the Narcotics Control Bureau: your PAN card is linked to active drug trafficking proceedings. Transfer Rs 5 lakh to the government escrow account within 90 minutes to avoid arrest.,1,government_impersonation
"Amazon Great Indian Festival Lucky Draw: You have been selected to receive Rs 10 lakh. Pay a delivery and documentation fee of Rs 5,000 to receive your prize at your address.",1,financial_fraud
"Dear IndusInd Bank customer, your internet banking has been disabled due to incomplete KYC. Update within 24 hours to avoid permanent account closure. Visit: indusind-kyc-portal.net/update",1,bank_phishing
"Hi Rahul, I am an international model based in Singapore. Your profile impressed me. Let us video call. I have a business proposal that can make us both very wealthy. Interested?",1,romance_parcel_sextortion
"BHIM UPI confirms: Split payment of Rs 1,500 settled with Flipkart. Transaction completed successfully. Ref: TXN9393820993. Thank you for using BHIM UPI.",0,legit
"Cash withdrawn: Rs 4,999 from SBI ATM at Gurgaon on 12-May-2026. A/c: **9012. Balance: Rs 8,900. If not done by you, block card immediately via SBI app.",0,legit
"Your secure OTP for Federal Bank credit card transaction is 794028. Do not share this with anyone. If you did not initiate this, call Federal Bank helpline immediately.",0,legit
IMPS Transfer Alert: Rs 450 successfully sent from ICICI Bank account ending 2345. Beneficiary name: Zepto. Ref no: TXN9525861305. Keep this reference for your records.,0,legit
"This is Enforcement Directorate. You have been named as a suspect in a online fraud investigation. Your SIM card was recovered at a crime scene. Share your location or pay Rs 40,000 to clear your name.",1,government_impersonation
Auto-debit success: Rs 120 debited from Kotak Bank a/c **9999 for Nykaa subscription renewal on 10-May-2026. Next debit: same date next month. Txn ref: TXN8640554436.,0,legit
Federal Bank Fraud Alert: A Rs 1.5 lakh transaction on your account ending 3421 is pending verification. Approve or deny at federal-transaction.in before it is processed.,1,bank_phishing
"I have sent you a gift package from Singapore full of expensive items. The courier is holding it and asking for Rs 75,000 in customs fees. Please pay it and I will reimburse you fully.",1,romance_parcel_sextortion
"Your LIC premium of Rs 450 for policy no. 123456789 has been received on 07-May. Receipt no. 987654. For details, log in to the LIC customer portal at licindia.in.",0,legit
This is an automated notice from the SEBI Fraud Division. Your Voter ID has been flagged for drug trafficking. You have 1 hour to report online or a physical warrant will be issued.,1,government_impersonation
Your Voter ID has appeared in a foreign exchange violation money trail. CBI has frozen your financial accounts pending investigation. Cooperate now by calling back to verify your identity.,1,government_impersonation
"This is SEBI Fraud Division. You have been named as a suspect in a illegal transactions investigation. Your Driving License was recovered at a crime scene. Share your location or pay Rs 25,000 to clear your name.",1,financial_fraud
"PNB: Your FD of Rs 1,500 has matured today. The maturity amount has been credited to your savings account ending 6789. Thank you for banking with PNB.",0,legit
"Groww: Your SBI Bluechip Fund SIP installment of Rs 3,500 is due on the 5th. Ensure sufficient balance in your linked bank account. Auto-debit will be attempted at 9 AM.",0,legit
"Our Dogecoin staking program on WazirX locks your coins for 90 days and returns 100% APY. No risk. Principal guaranteed by our licensed financial firm. Minimum stake: Rs 10,000.",1,financial_fraud
"Dear customer, Deepika Padukone personally recommended your profile for our exclusive investment group. Join now for a one-time entry fee of Rs 5,000 and access insider stock tips directly.",1,financial_fraud
Flipkart: Rate your recent purchase from order #612580523. Your honest review helps millions of shoppers make better decisions. Takes only 30 seconds to submit.,0,legit
Reliance Fresh Return Update: Your return request for order #935885740 has been approved. Pickup scheduled for within 24 hours. Refund will be processed after quality check.,0,legit
